game_number	player_bankrupt	turn
1	Hero	25
1	Bob	25
1	Alice	105
3	Bob	56
3	Alice	66
3	Hero	69
4	Bob	42
4	Hero	43
4	Charly	51
6	Charly	27
6	Alice	33
6	Hero	35
7	Bob	31
7	Hero	34
7	Alice	37
8	Charly	32
8	Bob	47
8	Hero	53
9	Charly	41
9	Hero	44
9	Bob	51
10	Charly	18
10	Hero	20
10	Bob	24
14	Alice	25
14	Hero	32
14	Bob	36
17	Charly	31
17	Alice	35
17	Bob	36
18	Charly	44
18	Bob	50
18	Hero	56
19	Charly	40
19	Alice	59
19	Hero	60
20	Charly	59
20	Bob	73
20	Alice	80
22	Hero	25
22	Alice	35
22	Charly	38
23	Charly	20
23	Alice	32
23	Bob	39
26	Charly	31
26	Bob	37
26	Hero	62
30	Hero	29
30	Alice	35
30	Bob	47
29	Hero	66
29	Charly	67
29	Alice	69
32	Hero	40
32	Charly	40
32	Bob	46
31	Bob	37
31	Charly	62
31	Hero	71
33	Bob	31
33	Alice	51
33	Charly	57
34	Alice	49
34	Hero	51
34	Bob	60
35	Charly	22
35	Bob	30
35	Hero	36
36	Hero	55
36	Charly	55
36	Bob	61
37	Bob	35
37	Alice	38
37	Charly	46
39	Hero	34
39	Alice	36
39	Bob	36
41	Bob	36
41	Hero	37
41	Alice	47
40	Bob	65
40	Alice	94
45	Hero	32
45	Alice	42
45	Bob	53
46	Charly	26
46	Hero	42
46	Alice	62
47	Charly	27
47	Bob	94
47	Alice	126
50	Alice	36
50	Charly	44
50	Bob	51
49	Charly	54
49	Hero	94
49	Bob	100
48	Hero	74
48	Alice	99
48	Bob	115
51	Charly	21
51	Bob	24
51	Hero	36
54	Hero	54
54	Charly	68
54	Bob	91
56	Hero	24
56	Bob	35
56	Alice	49
57	Charly	31
57	Alice	33
57	Hero	33
58	Bob	27
58	Alice	28
58	Charly	31
59	Hero	40
59	Charly	42
59	Alice	49
60	Charly	37
60	Bob	49
60	Alice	67
62	Alice	130
62	Charly	155
65	Bob	28
65	Charly	39
65	Alice	46
68	Hero	23
68	Alice	24
68	Charly	30
72	Bob	19
72	Charly	28
72	Alice	39
71	Alice	58
71	Hero	63
71	Charly	69
70	Charly	105
70	Bob	155
70	Hero	213
74	Hero	21
74	Bob	25
74	Charly	45
75	Bob	41
75	Alice	44
75	Charly	56
77	Hero	24
77	Charly	53
77	Alice	59
79	Alice	37
79	Hero	54
79	Charly	58
80	Alice	58
80	Charly	60
80	Bob	64
82	Alice	48
82	Charly	49
82	Hero	101
83	Hero	72
83	Charly	76
83	Bob	77
86	Alice	37
86	Hero	37
86	Charly	65
89	Charly	36
89	Alice	38
89	Hero	40
90	Hero	29
90	Bob	39
90	Charly	43
92	Charly	30
92	Alice	48
92	Hero	52
93	Charly	38
93	Hero	38
93	Alice	52
95	Alice	44
95	Hero	76
95	Bob	94
97	Charly	67
97	Alice	72
97	Hero	72
99	Charly	18
99	Bob	27
99	Alice	79
98	Charly	52
98	Hero	77
98	Alice	137
100	Charly	47
100	Alice	61
100	Hero	85
101	Charly	30
101	Hero	41
101	Bob	72
103	Alice	55
103	Charly	68
103	Bob	68
106	Hero	51
106	Charly	53
106	Alice	53
108	Charly	20
108	Alice	33
108	Bob	34
110	Charly	44
110	Bob	79
110	Hero	95
112	Hero	67
112	Charly	71
112	Bob	105
113	Alice	29
113	Bob	41
113	Hero	52
115	Hero	47
115	Charly	52
115	Alice	53
117	Alice	84
117	Hero	87
117	Bob	94
122	Charly	43
122	Alice	48
122	Hero	55
123	Bob	32
123	Charly	57
123	Hero	63
125	Charly	20
125	Hero	21
125	Alice	32
124	Bob	37
124	Charly	51
124	Alice	69
126	Alice	41
126	Charly	48
126	Bob	54
127	Hero	40
127	Charly	52
127	Bob	60
128	Hero	32
128	Charly	43
128	Bob	52
129	Alice	57
129	Charly	61
129	Hero	66
130	Bob	30
130	Hero	34
130	Alice	44
133	Hero	58
133	Alice	66
133	Bob	70
132	Alice	36
132	Hero	40
132	Bob	79
134	Charly	26
134	Hero	29
134	Alice	31
135	Hero	18
135	Alice	23
135	Charly	45
136	Hero	48
136	Bob	49
136	Alice	55
137	Hero	98
137	Alice	102
138	Alice	35
138	Bob	65
138	Hero	94
139	Hero	62
139	Alice	76
139	Bob	79
141	Alice	28
141	Charly	31
141	Hero	35
140	Alice	63
140	Bob	67
140	Charly	67
143	Alice	59
143	Charly	61
143	Bob	67
142	Bob	73
142	Alice	74
142	Hero	109
147	Bob	31
147	Alice	42
147	Charly	62
146	Alice	27
146	Hero	35
146	Bob	73
151	Hero	50
151	Charly	52
151	Bob	59
152	Charly	34
152	Hero	43
152	Bob	83
153	Hero	37
153	Alice	48
153	Bob	123
156	Charly	18
156	Alice	27
156	Hero	52
157	Bob	45
157	Charly	56
157	Hero	57
158	Bob	50
158	Hero	52
158	Charly	60
159	Hero	35
159	Charly	36
159	Alice	52
160	Hero	49
160	Charly	58
160	Alice	85
161	Charly	74
161	Alice	85
161	Bob	98
163	Charly	49
163	Alice	52
163	Hero	54
164	Charly	50
164	Hero	54
164	Bob	70
166	Bob	41
166	Charly	48
166	Alice	60
165	Bob	51
165	Charly	85
165	Alice	89
168	Charly	36
168	Alice	41
168	Hero	45
170	Alice	44
170	Charly	45
170	Bob	53
172	Hero	41
172	Bob	42
172	Alice	54
173	Hero	26
173	Alice	26
173	Bob	38
177	Hero	40
177	Alice	45
177	Bob	53
175	Bob	31
175	Alice	53
175	Hero	56
174	Alice	42
174	Bob	45
174	Hero	56
176	Hero	46
176	Bob	47
176	Alice	51
179	Bob	35
